id,author_nickname,author_uniqueId,stats_collectCount,stats_commentCount,stats_diggCount,stats_shareCount,stats_playCount,video_duration,isAd
7040928653991054598,Anya,anya.bumag,277,7,2174,44,52400,10,
7039506027238280453,Anya,anya.bumag,1512,22,13200,409,129000,10,
7039071783579831557,Anya,anya.bumag,843,15,6333,103,81900,10,
7038039464383466757,Anya,anya.bumag,155,12,1299,36,44600,11,
7036921357749505285,Anya,anya.bumag,770,15,6136,168,91800,13,
7125202712618143019,AMAZON FINDS,ariellebrimhall,30,4,84,11,4872,35,
7125087282700324138,AMAZON FINDS,ariellebrimhall,14,2,42,4,4228,33,
7124789423274822954,AMAZON FINDS,ariellebrimhall,50,1,172,25,5824,22,
7124739300347874606,AMAZON FINDS,ariellebrimhall,30,0,104,15,4874,33,
7124727036601683246,AMAZON FINDS,ariellebrimhall,79,0,307,8,7961,69,
7124717676865359150,AMAZON FINDS,ariellebrimhall,11,3,52,6,3499,28,
7124431687332891950,AMAZON FINDS,ariellebrimhall,40,0,129,18,3918,32,
7124311554052328747,AMAZON FINDS,ariellebrimhall,22,0,74,9,3699,24,
7123932446558604590,AMAZON FINDS,ariellebrimhall,37,0,123,13,4687,28,
7123716659818548526,AMAZON FINDS,ariellebrimhall,38,0,166,28,4698,24,
7123564303084653870,AMAZON FINDS,ariellebrimhall,53,0,173,21,6681,29,
7123332421780524331,AMAZON FINDS,ariellebrimhall,41,5,185,49,10400,24,
7123296900438084907,AMAZON FINDS,ariellebrimhall,23,1,119,14,5310,23,
7122611941759061294,AMAZON FINDS,ariellebrimhall,68,1,240,29,6866,28,
7122564372391578923,AMAZON FINDS,ariellebrimhall,17,0,119,6,5034,36,
7122460928687426862,AMAZON FINDS,ariellebrimhall,20,1,74,11,5104,37,
7122223703018163502,AMAZON FINDS,ariellebrimhall,4,0,36,3,2561,47,
7122141406684122411,AMAZON FINDS,ariellebrimhall,18,0,115,5,4195,139,
7122105824410963246,AMAZON FINDS,ariellebrimhall,1,0,20,2,2252,35,
7122093427105336618,AMAZON FINDS,ariellebrimhall,5,0,36,3,1994,54,
7121833017785683246,AMAZON FINDS,ariellebrimhall,8,0,32,3,2286,23,
7121783437686050094,AMAZON FINDS,ariellebrimhall,8,0,27,6,2482,38,
7121753243600031022,AMAZON FINDS,ariellebrimhall,20,0,106,9,4428,36,
7101428216614636842,AMAZON FINDS,ariellebrimhall,14,0,83,3,4564,21,
7101303922807098666,AMAZON FINDS,ariellebrimhall,53,2,175,5,12000,74,
7101062095642332462,AMAZON FINDS,ariellebrimhall,1,0,15,0,992,25,
7101036209136323883,AMAZON FINDS,ariellebrimhall,11,0,73,6,5401,18,
7101013187071315246,AMAZON FINDS,ariellebrimhall,49,1,114,8,14700,41,
7100990957293686059,AMAZON FINDS,ariellebrimhall,28,0,164,3,5249,75,
7100248890259131694,AMAZON FINDS,ariellebrimhall,1,0,16,0,850,27,
7099915729553657130,AMAZON FINDS,ariellebrimhall,4,0,15,0,728,31,
7099895617672973610,AMAZON FINDS,ariellebrimhall,0,0,12,0,600,60,
7099876087005482286,AMAZON FINDS,ariellebrimhall,1,0,7,0,687,26,
7099837906688331054,AMAZON FINDS,ariellebrimhall,2,0,18,0,867,25,
7099154607389248814,AMAZON FINDS,ariellebrimhall,0,0,32,0,1072,25,
7099144618301885742,AMAZON FINDS,ariellebrimhall,11,0,88,1,3034,75,
7099128455731825966,AMAZON FINDS,ariellebrimhall,7,0,30,1,1779,26,
7099119459083849002,AMAZON FINDS,ariellebrimhall,20,0,122,8,5910,23,
7098817932548984110,AMAZON FINDS,ariellebrimhall,0,0,9,0,566,25,
